asset_id,asset_type,data_title,data_asset_focus_area,data_asset_type,data_asset_target,data_asset_tags,data_asset_indication,data_asset_description,data_asset_phases,indication,region,phase_status_class,phase_status_label
rinvoq,pharmaceutical,RINVOQ,Immunology,Small Molecule,JAK1,"Immunology,Small Molecule,JAK1,Pharmaceutical","Axial SpA,Hidradenitis Suppurativa,Atopic Dermatitis,Alopecia Areata,Rheumatoid Arthritis,Takayasu Arteritis,Ankylosing Spondylitis,Crohn's Disease,Vitiligo,Giant Cell Arteritis,Systemic Lupus Erythematosus (SLE),Ulcerative Colitis,Psoriatic Arthritis","Upadacitinib (ABT-494) is a JAK1 selective inhibitor approved to treat ankylosing spondylitis, atopic dermatitis, axial SpA, Crohn's disease, giant cell arteritis, psoriatic arthritis, rheumatoid arthritis and ulcerative colitis. It is being investigated to treat alopecia areata, hidradenitis suppurativa (HS), systemic lupus erthematosus (SLE), Takayasu arteritis and vitiligo.","Submitted,Approved,Phase 3",Ankylosing Spondylitis,"US , EU",approved,approved
rinvoq,pharmaceutical,RINVOQ,Immunology,Small Molecule,JAK1,"Immunology,Small Molecule,JAK1,Pharmaceutical","Axial SpA,Hidradenitis Suppurativa,Atopic Dermatitis,Alopecia Areata,Rheumatoid Arthritis,Takayasu Arteritis,Ankylosing Spondylitis,Crohn's Disease,Vitiligo,Giant Cell Arteritis,Systemic Lupus Erythematosus (SLE),Ulcerative Colitis,Psoriatic Arthritis","Upadacitinib (ABT-494) is a JAK1 selective inhibitor approved to treat ankylosing spondylitis, atopic dermatitis, axial SpA, Crohn's disease, giant cell arteritis, psoriatic arthritis, rheumatoid arthritis and ulcerative colitis. It is being investigated to treat alopecia areata, hidradenitis suppurativa (HS), systemic lupus erthematosus (SLE), Takayasu arteritis and vitiligo.","Submitted,Approved,Phase 3",Atopic Dermatitis,"US , EU",approved,approved
rinvoq,pharmaceutical,RINVOQ,Immunology,Small Molecule,JAK1,"Immunology,Small Molecule,JAK1,Pharmaceutical","Axial SpA,Hidradenitis Suppurativa,Atopic Dermatitis,Alopecia Areata,Rheumatoid Arthritis,Takayasu Arteritis,Ankylosing Spondylitis,Crohn's Disease,Vitiligo,Giant Cell Arteritis,Systemic Lupus Erythematosus (SLE),Ulcerative Colitis,Psoriatic Arthritis","Upadacitinib (ABT-494) is a JAK1 selective inhibitor approved to treat ankylosing spondylitis, atopic dermatitis, axial SpA, Crohn's disease, giant cell arteritis, psoriatic arthritis, rheumatoid arthritis and ulcerative colitis. It is being investigated to treat alopecia areata, hidradenitis suppurativa (HS), systemic lupus erthematosus (SLE), Takayasu arteritis and vitiligo.","Submitted,Approved,Phase 3",Axial SpA,"US , EU",approved,approved
rinvoq,pharmaceutical,RINVOQ,Immunology,Small Molecule,JAK1,"Immunology,Small Molecule,JAK1,Pharmaceutical","Axial SpA,Hidradenitis Suppurativa,Atopic Dermatitis,Alopecia Areata,Rheumatoid Arthritis,Takayasu Arteritis,Ankylosing Spondylitis,Crohn's Disease,Vitiligo,Giant Cell Arteritis,Systemic Lupus Erythematosus (SLE),Ulcerative Colitis,Psoriatic Arthritis","Upadacitinib (ABT-494) is a JAK1 selective inhibitor approved to treat ankylosing spondylitis, atopic dermatitis, axial SpA, Crohn's disease, giant cell arteritis, psoriatic arthritis, rheumatoid arthritis and ulcerative colitis. It is being investigated to treat alopecia areata, hidradenitis suppurativa (HS), systemic lupus erthematosus (SLE), Takayasu arteritis and vitiligo.","Submitted,Approved,Phase 3",Crohn's Disease,"US , EU",approved,approved
rinvoq,pharmaceutical,RINVOQ,Immunology,Small Molecule,JAK1,"Immunology,Small Molecule,JAK1,Pharmaceutical","Axial SpA,Hidradenitis Suppurativa,Atopic Dermatitis,Alopecia Areata,Rheumatoid Arthritis,Takayasu Arteritis,Ankylosing Spondylitis,Crohn's Disease,Vitiligo,Giant Cell Arteritis,Systemic Lupus Erythematosus (SLE),Ulcerative Colitis,Psoriatic Arthritis","Upadacitinib (ABT-494) is a JAK1 selective inhibitor approved to treat ankylosing spondylitis, atopic dermatitis, axial SpA, Crohn's disease, giant cell arteritis, psoriatic arthritis, rheumatoid arthritis and ulcerative colitis. It is being investigated to treat alopecia areata, hidradenitis suppurativa (HS), systemic lupus erthematosus (SLE), Takayasu arteritis and vitiligo.","Submitted,Approved,Phase 3",Giant Cell Arteritis,"US , EU",approved,approved
rinvoq,pharmaceutical,RINVOQ,Immunology,Small Molecule,JAK1,"Immunology,Small Molecule,JAK1,Pharmaceutical","Axial SpA,Hidradenitis Suppurativa,Atopic Dermatitis,Alopecia Areata,Rheumatoid Arthritis,Takayasu Arteritis,Ankylosing Spondylitis,Crohn's Disease,Vitiligo,Giant Cell Arteritis,Systemic Lupus Erythematosus (SLE),Ulcerative Colitis,Psoriatic Arthritis","Upadacitinib (ABT-494) is a JAK1 selective inhibitor approved to treat ankylosing spondylitis, atopic dermatitis, axial SpA, Crohn's disease, giant cell arteritis, psoriatic arthritis, rheumatoid arthritis and ulcerative colitis. It is being investigated to treat alopecia areata, hidradenitis suppurativa (HS), systemic lupus erthematosus (SLE), Takayasu arteritis and vitiligo.","Submitted,Approved,Phase 3",Hidradenitis Suppurativa,N / A,phase3,phase3
rinvoq,pharmaceutical,RINVOQ,Immunology,Small Molecule,JAK1,"Immunology,Small Molecule,JAK1,Pharmaceutical","Axial SpA,Hidradenitis Suppurativa,Atopic Dermatitis,Alopecia Areata,Rheumatoid Arthritis,Takayasu Arteritis,Ankylosing Spondylitis,Crohn's Disease,Vitiligo,Giant Cell Arteritis,Systemic Lupus Erythematosus (SLE),Ulcerative Colitis,Psoriatic Arthritis","Upadacitinib (ABT-494) is a JAK1 selective inhibitor approved to treat ankylosing spondylitis, atopic dermatitis, axial SpA, Crohn's disease, giant cell arteritis, psoriatic arthritis, rheumatoid arthritis and ulcerative colitis. It is being investigated to treat alopecia areata, hidradenitis suppurativa (HS), systemic lupus erthematosus (SLE), Takayasu arteritis and vitiligo.","Submitted,Approved,Phase 3",Psoriatic Arthritis,"US , EU",approved,approved
rinvoq,pharmaceutical,RINVOQ,Immunology,Small Molecule,JAK1,"Immunology,Small Molecule,JAK1,Pharmaceutical","Axial SpA,Hidradenitis Suppurativa,Atopic Dermatitis,Alopecia Areata,Rheumatoid Arthritis,Takayasu Arteritis,Ankylosing Spondylitis,Crohn's Disease,Vitiligo,Giant Cell Arteritis,Systemic Lupus Erythematosus (SLE),Ulcerative Colitis,Psoriatic Arthritis","Upadacitinib (ABT-494) is a JAK1 selective inhibitor approved to treat ankylosing spondylitis, atopic dermatitis, axial SpA, Crohn's disease, giant cell arteritis, psoriatic arthritis, rheumatoid arthritis and ulcerative colitis. It is being investigated to treat alopecia areata, hidradenitis suppurativa (HS), systemic lupus erthematosus (SLE), Takayasu arteritis and vitiligo.","Submitted,Approved,Phase 3",Rheumatoid Arthritis,"US , EU",approved,approved
rinvoq,pharmaceutical,RINVOQ,Immunology,Small Molecule,JAK1,"Immunology,Small Molecule,JAK1,Pharmaceutical","Axial SpA,Hidradenitis Suppurativa,Atopic Dermatitis,Alopecia Areata,Rheumatoid Arthritis,Takayasu Arteritis,Ankylosing Spondylitis,Crohn's Disease,Vitiligo,Giant Cell Arteritis,Systemic Lupus Erythematosus (SLE),Ulcerative Colitis,Psoriatic Arthritis","Upadacitinib (ABT-494) is a JAK1 selective inhibitor approved to treat ankylosing spondylitis, atopic dermatitis, axial SpA, Crohn's disease, giant cell arteritis, psoriatic arthritis, rheumatoid arthritis and ulcerative colitis. It is being investigated to treat alopecia areata, hidradenitis suppurativa (HS), systemic lupus erthematosus (SLE), Takayasu arteritis and vitiligo.","Submitted,Approved,Phase 3",Systemic Lupus Erythematosus (SLE),N / A,phase3,phase3
rinvoq,pharmaceutical,RINVOQ,Immunology,Small Molecule,JAK1,"Immunology,Small Molecule,JAK1,Pharmaceutical","Axial SpA,Hidradenitis Suppurativa,Atopic Dermatitis,Alopecia Areata,Rheumatoid Arthritis,Takayasu Arteritis,Ankylosing Spondylitis,Crohn's Disease,Vitiligo,Giant Cell Arteritis,Systemic Lupus Erythematosus (SLE),Ulcerative Colitis,Psoriatic Arthritis","Upadacitinib (ABT-494) is a JAK1 selective inhibitor approved to treat ankylosing spondylitis, atopic dermatitis, axial SpA, Crohn's disease, giant cell arteritis, psoriatic arthritis, rheumatoid arthritis and ulcerative colitis. It is being investigated to treat alopecia areata, hidradenitis suppurativa (HS), systemic lupus erthematosus (SLE), Takayasu arteritis and vitiligo.","Submitted,Approved,Phase 3",Takayasu Arteritis,JA,phase3,phase3
rinvoq,pharmaceutical,RINVOQ,Immunology,Small Molecule,JAK1,"Immunology,Small Molecule,JAK1,Pharmaceutical","Axial SpA,Hidradenitis Suppurativa,Atopic Dermatitis,Alopecia Areata,Rheumatoid Arthritis,Takayasu Arteritis,Ankylosing Spondylitis,Crohn's Disease,Vitiligo,Giant Cell Arteritis,Systemic Lupus Erythematosus (SLE),Ulcerative Colitis,Psoriatic Arthritis","Upadacitinib (ABT-494) is a JAK1 selective inhibitor approved to treat ankylosing spondylitis, atopic dermatitis, axial SpA, Crohn's disease, giant cell arteritis, psoriatic arthritis, rheumatoid arthritis and ulcerative colitis. It is being investigated to treat alopecia areata, hidradenitis suppurativa (HS), systemic lupus erthematosus (SLE), Takayasu arteritis and vitiligo.","Submitted,Approved,Phase 3",Ulcerative Colitis,"US , EU",approved,approved
rinvoq,pharmaceutical,RINVOQ,Immunology,Small Molecule,JAK1,"Immunology,Small Molecule,JAK1,Pharmaceutical","Axial SpA,Hidradenitis Suppurativa,Atopic Dermatitis,Alopecia Areata,Rheumatoid Arthritis,Takayasu Arteritis,Ankylosing Spondylitis,Crohn's Disease,Vitiligo,Giant Cell Arteritis,Systemic Lupus Erythematosus (SLE),Ulcerative Colitis,Psoriatic Arthritis","Upadacitinib (ABT-494) is a JAK1 selective inhibitor approved to treat ankylosing spondylitis, atopic dermatitis, axial SpA, Crohn's disease, giant cell arteritis, psoriatic arthritis, rheumatoid arthritis and ulcerative colitis. It is being investigated to treat alopecia areata, hidradenitis suppurativa (HS), systemic lupus erthematosus (SLE), Takayasu arteritis and vitiligo.","Submitted,Approved,Phase 3",Vitiligo,"US , EU",submitted,submitted
abbv-1042,pharmaceutical,ABBV-1042,Neuroscience,Small Molecule,M4 Receptor,"Small Molecule,Pharmaceutical,Neuroscience,M4 Receptor",Bipolar Mania,ABBV-1042 is an M4 receptor agonist being investigated for bipolar mania.,Phase 1,Bipolar Mania,,phase1,phase1
abbv-1758,pharmaceutical,ABBV-1758,Neuroscience,Biologic,Pyroglutamate (3pE) Aβ,"Biologic,Pyroglutamate (3pE) Aβ,Pharmaceutical,Neuroscience",Alzheimer's Disease,ABBV-1758 is an amyloid beta (3pE-Aβ) antibody with anti-TfR delivery module in development for the treatment of Alzheimer's disease.,Phase 1,Alzheimer's Disease,N / A,phase1,phase1
abbv-2002,pharmaceutical,ABBV-2002,Neuroscience,Biologic,PAR-2,"Biologic,Pharmaceutical,Neuroscience,PAR-2",Migraine,ABBV-2002 is a monoclonal antibody targeting protease-activated receptor 2 (PAR-2) in development as a potential treatment to prevent migraine.,Phase 2,Migraine,,phase2,phase2
abbv-932,pharmaceutical,ABBV-932,Neuroscience,Small Molecule,DRD2 / DRD3 Modulator,"Small Molecule,Pharmaceutical,DRD2 / DRD3 Modulator,Neuroscience","Bipolar Depression,Generalized Anxiety Disorder",ABBV 932 is a selective D3 dopamine receptor modulator being investigated as a monotherapy for the treatment of bipolar depression and as an adjunctive therapy for generalized anxiety disorder. Developed in partnership with Gedeon Richter.,Phase 2,Bipolar Depression,N / A,phase2,phase2
abbv-932,pharmaceutical,ABBV-932,Neuroscience,Small Molecule,DRD2 / DRD3 Modulator,"Small Molecule,Pharmaceutical,DRD2 / DRD3 Modulator,Neuroscience","Bipolar Depression,Generalized Anxiety Disorder",ABBV 932 is a selective D3 dopamine receptor modulator being investigated as a monotherapy for the treatment of bipolar depression and as an adjunctive therapy for generalized anxiety disorder. Developed in partnership with Gedeon Richter.,Phase 2,Generalized Anxiety Disorder,N / A,phase2,phase2
bretisilocin,pharmaceutical,Bretisilocin,Neuroscience,Small Molecule,Serotonin 5-HT2A receptor,"Small Molecule,Pharmaceutical,Neuroscience,Serotonin 5-HT2A receptor",Major Depressive Disorder,"Bretisilocin is a novel, short-acting serotonin, 5-HT2A receptor agonist in development for major depressive disorder.",Phase 2,Major Depressive Disorder,N / A,phase2,phase2
emraclidine,pharmaceutical,Emraclidine,Neuroscience,Small Molecule,M4 PAM,"M4 PAM,Small Molecule,Pharmaceutical,Neuroscience","Psychosis,Schizophrenia",Emraclidine is an orally available muscarinic M4 Receptor (PAM) being investigated for the treatment of schizophrenia and other forms of psychosis.,"Phase 2,Phase 1",Schizophrenia,N / A,phase2,phase2
emraclidine,pharmaceutical,Emraclidine,Neuroscience,Small Molecule,M4 PAM,"M4 PAM,Small Molecule,Pharmaceutical,Neuroscience","Psychosis,Schizophrenia",Emraclidine is an orally available muscarinic M4 Receptor (PAM) being investigated for the treatment of schizophrenia and other forms of psychosis.,"Phase 2,Phase 1",Psychosis,N / A,phase1,phase1
gemibotulinumtoxina,pharmaceutical,GemibotulinumtoxinA,Neuroscience,Biologic,SNAP-25,"SNAP-25,Biologic,Neuroscience",Ventral Hernia Repair (VHR),GemibotulinumtoxinA (GemibotA) is a next-generation toxin in development for ventral hernia repair.,Phase 2,Ventral Hernia Repair (VHR),,phase2,phase2
icalcaprant_(abbv-1354),pharmaceutical,Icalcaprant (ABBV-1354),Neuroscience,Small Molecule,KOR antagonist,"Small Molecule,Pharmaceutical,Neuroscience,KOR antagonist","Major Depressive Disorder (MDD),Bipolar Depression",Icalcaprant (ABBV-1354) is a kappa opioid receptor (KOR) antagonist being investigated for treatment of depression.,Phase 2,Bipolar Depression,N / A,phase2,phase2
icalcaprant_(abbv-1354),pharmaceutical,Icalcaprant (ABBV-1354),Neuroscience,Small Molecule,KOR antagonist,"Small Molecule,Pharmaceutical,Neuroscience,KOR antagonist","Major Depressive Disorder (MDD),Bipolar Depression",Icalcaprant (ABBV-1354) is a kappa opioid receptor (KOR) antagonist being investigated for treatment of depression.,Phase 2,Major Depressive Disorder (MDD),N / A,phase2,phase2
qulipta,pharmaceutical,QULIPTA,Neuroscience,Small Molecule,CGRP receptor,"CGRP receptor,Small Molecule,Pharmaceutical,Neuroscience","Acute Migraine,Menstrual Migraine",QULIPTA (atogepant) is a calcitonin gene-related peptide (CGRP) receptor antagonist being investigated (outside the U.S.) for the treatment of acute migraine and preventive treatment of menstrual migraine.,"Submitted,Phase 3",Acute Migraine,OUS,submitted,submitted
qulipta,pharmaceutical,QULIPTA,Neuroscience,Small Molecule,CGRP receptor,"CGRP receptor,Small Molecule,Pharmaceutical,Neuroscience","Acute Migraine,Menstrual Migraine",QULIPTA (atogepant) is a calcitonin gene-related peptide (CGRP) receptor antagonist being investigated (outside the U.S.) for the treatment of acute migraine and preventive treatment of menstrual migraine.,"Submitted,Phase 3",Menstrual Migraine,OUS,phase3,phase3
tavapadon,pharmaceutical,Tavapadon,Neuroscience,Small Molecule,D1 / D5 Partial Agonist,"Small Molecule,D1 / D5 Partial Agonist,Pharmaceutical,Neuroscience",Parkinson's Disease,Tavapadon is an orally active dopamine D1/D5 receptor selective partial agonist being investigated for the treatment of Parkinson's disease (both monotherapy and adjunctive).,Submitted,Parkinson's Disease,N / A,submitted,submitted
ubrelvy,pharmaceutical,UBRELVY,Neuroscience,Small Molecule,CGRP receptor,"CGRP receptor,Small Molecule,Pharmaceutical,Neuroscience",Menstrual Migraine,UBRELVY (ubrogepant) is a calcitonin gene-related peptide (CGRP) receptor antagonist being investigated for the preventive treatment of menstrual migraine.,Phase 3,Menstrual Migraine,N / A,phase3,phase3
abbv-1480,pharmaceutical,ABBV-1480,Oncology,Biologic,"PD-1, VEGF","Biologic,PD-1, VEGF,Oncology",Solid Tumors,"ABBV-1480 (RC148) is an investigational Programmed Cell Death-1 (PD-1)/Vascular Endothelial Growth Factor (VEGF)-targeted bispecific antibody being investigated in multiple advanced solid tumors including non-small cell lung cancer (NSCLC) and colorectal cancer (CRC). AbbVie holds exclusive rights from RemeGen to develop, manufacture, and commercialize ABBV-1480 outside of the Greater China territory.",Phase 1,Solid Tumors,N / A,phase1,phase1
abbv-181_(budigalimab),pharmaceutical,ABBV-181 (budigalimab),Oncology,Biologic,PD1,"Biologic,Pharmaceutical,Oncology,PD1",Solid and Hematologic Tumors,ABBV-181 (budigalimab) is an anti-PD1 monoclonal humanized antibody that is being developed for combinations with other AbbVie molecules for solid tumors and hematologic malignancies.,Phase 2,Solid and Hematologic Tumors,N / A,phase2,phase2
abbv-2001,pharmaceutical,ABBV-2001,Oncology,Biologic,"BCMA, CD38, CD3","BCMA, CD38, CD3,Biologic,Pharmaceutical,Oncology",Relapsed / Refractory Multiple Myeloma,"ABBV-2001 (ISB 2001) is a first-in-class trispecific T-cell engager that targets CD38 and BCMA on myeloma cells and CD3 on T cells. It is currently being investigated for relapsed/refractory multiple myeloma. ABBV-2001 was developed using IGI's proprietary BEAT® platform. AbbVie holds exclusive rights to develop, manufacture, and commercialize ABBV-2001 across North America, Europe, Japan and Greater China.",Phase 1,Relapsed / Refractory Multiple Myeloma,N / A,phase1,phase1
abbv-324,pharmaceutical,ABBV-324,Oncology,Biologic,N / A,"Biologic,Pharmaceutical,Oncology,N / A",Solid Tumors,"ABBV-324 is an antibody-drug conjugate (ADC) being investigated in advanced solid tumors, including squamous-cell non-small cell lung cancer and hepatocellular carcinoma (HCC).",Phase 1,Solid Tumors,N / A,phase1,phase1
abbv-514,pharmaceutical,ABBV-514,Oncology,Biologic,CCR8,"Biologic,Pharmaceutical,Oncology,CCR8",Solid Tumors,ABBV-514 is an anti-chemokine C-C motif receptor 8 (CCR8) antibody that is being investigated for the treatment of relapsed non-small cell lung cancer (NSCLC) and head and neck squamous cell carcinoma (HNSCC) as a single agent and in combination with a PD-1 inhibitor.,Phase 1,Solid Tumors,N / A,phase1,phase1
abbv-525,pharmaceutical,ABBV-525,Oncology,Small Molecule,MALT1,"Small Molecule,Pharmaceutical,MALT1,Oncology",Hematologic Tumors,"ABBV-525 is an oral small-molecule inhibitor of Mucosa-Associated Lymphoid Tissue Lymphoma Translocation Protein 1 (MALT1), being investigated in B-cell malignancies.",Phase 1,Hematologic Tumors,N / A,phase1,phase1
abbv-706,pharmaceutical,ABBV-706,Oncology,Biologic,SEZ6,"Biologic,Pharmaceutical,Oncology,SEZ6","Relapsed / Refractory Small Cell Lung Cancer,Neuroendocrine Neoplasms,First Line Small Cell Lung Cancer",ABBV-706 is a seizure protein 6 homolog (SEZ6) targeted antibody-drug conjugate with a topoisomerase 1 inhibitor (Top1i) payload being investigated for the treatment of certain solid tumors.,"Phase 3,Phase 2,Phase 1",First Line Small Cell Lung Cancer,N / A,phase2,phase2
abbv-706,pharmaceutical,ABBV-706,Oncology,Biologic,SEZ6,"Biologic,Pharmaceutical,Oncology,SEZ6","Relapsed / Refractory Small Cell Lung Cancer,Neuroendocrine Neoplasms,First Line Small Cell Lung Cancer",ABBV-706 is a seizure protein 6 homolog (SEZ6) targeted antibody-drug conjugate with a topoisomerase 1 inhibitor (Top1i) payload being investigated for the treatment of certain solid tumors.,"Phase 3,Phase 2,Phase 1",Relapsed / Refractory Small Cell Lung Cancer,,phase3,phase3
abbv-706,pharmaceutical,ABBV-706,Oncology,Biologic,SEZ6,"Biologic,Pharmaceutical,Oncology,SEZ6","Relapsed / Refractory Small Cell Lung Cancer,Neuroendocrine Neoplasms,First Line Small Cell Lung Cancer",ABBV-706 is a seizure protein 6 homolog (SEZ6) targeted antibody-drug conjugate with a topoisomerase 1 inhibitor (Top1i) payload being investigated for the treatment of certain solid tumors.,"Phase 3,Phase 2,Phase 1",Neuroendocrine Neoplasms,N / A,phase1,phase1
