Compound,Generic Name,Trade name,Combination,Therapeutic area,Project type,Indication,Phase,Filing date,Partner,Managed by,Description
"RG6180","autogene cevumeran","","","Oncology/Hematology","nme","solid tumors","Phase 2","2029+","BioNTech AG","Genentech Research and Early Development (gRED)","Autogene cevumeran (Individualised Neoantigen-Specific Therapy, iNeST (RG6180)) is a messenger RNA (mRNA)-based, individually tailored, personalized cancer vaccine. Each vaccine will be made using unique neoantigen signatures from an individual patient’s tumor, which is expected to elicit an effective immune response against that patient’s tumor."
"RG6652","GLP-1 receptor agonist (CT-996)","","","Cardiovascular, Renal & Metabolism","nme","obesity +/- Type 2 diabetes (T2D)","Phase 2","2029+","Carmot Therapeutics","Pharma Research and Early Development (pRED)","CT-996 is a once daily oral small molecule agonist of the GLP-1 receptor being developed for the treatment of obesity and type 2 diabetes. Unlike the endogenous GLP-1 hormone, CT-996 is specifically designed to be a biased agonist that activates cAMP signaling with minimal-to- no  beta-arrestin recruitment. These signaling properties are expected to lead to strong glycemic control, significant weight loss and good tolerability."
"RG6035","Brainshuttle™ CD20","","","Neuroscience","nme","multiple sclerosis (MS)","Phase 1","","","Pharma Research and Early Development (pRED)","RG6035 (Brainshuttle™ CD20) uses the brain shuttle technology to transfer Anti-CD20 antibodies across the blood brain barrier and increase the antibody concentrations in the brain/CNS."
"RG6114","Inavolisib","Itovebi","plus Phesgo","Oncology/Hematology","ai","1L HER2-positive PIK3CA-mutant metastatic breast cancer  (1L HER2+ PIK3CA-mut. mBC)","Phase 3","2027","","Roche Late Stage Product Development","Inavolisib (RG6114, GDC-0077) is a small molecule PI3 kinase (PI3K) inhibitor. Dysregulation of PI3K signaling is implicated in a broad range of human cancers, and activating mutations in the PI3K alpha-isoform gene (PIK3CA) are common oncogenic drivers. The PI3K/Akt/mTOR pathway regulates cell growth and survival."
"RG6620","KRAS G12D inhibitor","","","Oncology/Hematology","nme","solid tumors","Phase 1","","","Genentech Research and Early Development (gRED)","GDC-7035 is selective for KRAS G12D, the most prevalent KRAS mutation, found in ~40% of PDAC, 15% of CRC, 4% of NSCLC"
"RG6468","NME","","","Oncology/Hematology","nme","solid tumors","Phase 1","","","Genentech Research and Early Development (gRED)",""
"RG6501","OpRegen","","","Ophthalmology","nme","geographic atrophy (GA)","Phase 2","2029+","Lineage Cell Therapeutics","Partner managed","OpRegen (RG6501) is a retinal pigment epithelium (RPE) cell therapy for the treatment of ocular disorders under development by Lineage Cell Therapeutics in collaboration with Roche."
"RG6114","Inavolisib","Itovebi","plus palbociclib plus fulvestrant","Oncology/Hematology","nme","1L metastatic ER-positive and HER2-negative breast cancer (1L HR+ PIK3CA-mut. mBC)","Approved","","","Roche Late Stage Product Development","Inavolisib (RG6114, GDC-0077) is a small molecule PI3 kinase (PI3K) inhibitor. Dysregulation of PI3K signaling is implicated in a broad range of human cancers, and activating mutations in the PI3K alpha-isoform gene (PIK3CA) are common oncogenic drivers. The PI3K/Akt/mTOR pathway regulates cell growth and survival."
"RG7596","polatuzumab vedotin","Polivy","","Oncology/Hematology","ai","1L diffuse large B-cell lymphoma (1L DLBCL)","Approved","","Seagen Inc.","Roche Late Stage Product Development","Polivy (Polatuzumab vedotin, RG7596) is an antibody-drug conjugate (ADC) that consists of a monoclonal antibody anti-CD79b, conjugated to a potent anti-cancer agent that is selectively delivered to tumor cells."
"RG6356","delandistrogene moxeparvovec  (SRP-9001)","Elevidys","","Neuroscience","ai","0 to <4 year old  Duchenne muscular dystrophy (DMD)","Phase 2","2029+","Sarepta","Roche Late Stage Product Development","Delandistrogene moxeparvovec (SRP-9001; rAAVrh74.MHCK7.micro-dystrophin) is an investigational gene therapy aimed to deliver the micro-dystrophin-encoding transgene directly to the skeletal and cardiac muscle for the targeted production of the SRP-9001-dystrophin protein to enable a durable clinical response."
"RG7446","atezolizumab","Tecentriq SC","","Oncology/Hematology","ai","subcutaneous formulation, all approved indications","Approved","","Halozyme","Roche Late Stage Product Development","Cancer immunotherapy is the use of the immune system to fight cancer. Tecentriq (anti-PDL1, RG7446, atezolizumab) is an engineered monoclonal antibody that targets the ligand PD-L1 (programmed death ligand 1) aiming to prevent cancer immune evasion."
"RG6327","NME","","","Ophthalmology","nme","geographic atrophy","Phase 1","","","Pharma Research and Early Development (pRED)",""
"RG6794","CDK4/2i (RGT-419B)","","","Oncology/Hematology","nme","HR+ HER2- breast cancer","Phase 1","","","Genentech Research and Early Development (gRED)","Potent CDK4 inhibitor with increased activity on CDK2 addressing a key mechanism of resistance to existing therapies"
"RG7159","obinutuzumab","Gazyva/Gazyvaro","","Immunology","ai","systemic lupus erythematosus (SLE)","Filed","2026","Biogen Idec","Roche Late Stage Product Development","Gazyva/Gazyvaro (obinutuzumab, RG7159, GA101) is the first glycoengineered, type II, humanised anti-CD20 monoclonal antibody. It has a distinct mode of action compared with other anti-CD20s, including MabThera/Rituxan, and was specifically designed to selectively target the CD20 protein on B cells and to bind with high affinity to the cell surface in a type II configuration."
"RG7828","mosunetuzumab","Lunsumio","plus combinations","Oncology/Hematology","ai","hematologic tumors (heme tumors)","Phase 1","","Biogen Idec","Roche Late Stage Product Development","Lunsumio (mosunetuzumab, anti-CD20/CD3 TDB, RG7828) is a humanized full-length T cell-dependent bispecific antibody designed to target both CD20 on B cells and CD3 on T cells. This dual-targeting antibody is designed to redirect T cells to attack cancer cells."
"RG6382","CD19 x CD3","","","Immunology","nme","systemic lupus erythematosus (SLE)","Phase 1","","","Pharma Research and Early Development (pRED)","Anti-CD19 CD3 TCB is a T cell-engaging bispecific antibody, designed to engage both CD19 on B cells and CD3 on T cells. It was specifically designed to mediate profound B cell depletion with low risk of systemic cytokine release for use in autoimmune conditions."
"RG6662","HTT miRNA GT","","","Neuroscience","nme","Huntington's disease","Phase 1","","Spark Therapeutics","Pharma Research and Early Development (pRED)","HTT miRNA GT delivers microRNA and downregulates both mHtt and wild-type HTT (wHtt) in transduced neurons"
"RG7828","mosunetuzumab","Lunsumio","plus lenalidomide","Oncology/Hematology","ai","2L+ Follicular Lymphoma (2L+ FL)","Phase 3","2026","Biogen Idec","Roche Late Stage Product Development","Lunsumio (mosunetuzumab, anti-CD20/CD3 TDB, RG7828) is a humanized full-length T cell-dependent bispecific antibody designed to target both CD20 on B cells and CD3 on T cells. This dual-targeting antibody is designed to redirect T cells to attack cancer cells."
"CHU","Anti-CTLA-4 Switch antibody (ROSE12)","","","Oncology/Hematology","nme","solid tumors","Phase 1","","Chugai","Chugai","Switch Antibody™ technology, is expected to work selectively on tumor tissue."
"RG6152","baloxavir marboxil","Xofluza","","Other","ai","influenza, pediatric patients (1-12yr)","Approved","","Shionogi","Roche Late Stage Product Development","Xofluza (baloxavir marboxil, RG6152) is an oral cap-dependent endonuclease inhibitor with broad and potent antiviral activity against seasonal influenza A and B viruses."
"RG3502","trastuzumab emtansine","Kadcyla","plus Tecentriq","Oncology/Hematology","ai","high risk patients with adjuvant HER2-positive breast cancer (HER-2+ eBC high-risk)","Phase 3","2027","ImmunoGen","Roche Late Stage Product Development","Kadcyla (trastuzumab emtansine, RG3502) is a novel antibody-drug conjugate (ADC) that combines the therapeutic effect of trastuzumab (the active substance of Herceptin) with intracellular delivery of DM1, a highly potent chemotherapy agent, to specifically target HER2-positive tumors."
"CHU","solid tumors","","","Oncology/Hematology","nme","pan-KRAS inhibitor (AUBE00)","Phase 1","","Chugai","Chugai","Orally available cyclic peptide. Through its selective inhibitory activity based on binding to KRAS-GDP, it is expected to deliver anti-tumor effects with a favorable safety profile, and target a broad spectrum of KRAS gene mutations."
"RG6356","delandistrogene moxeparvovec  (SRP-9001)","Elevidys","","Neuroscience","ai","amb. 8 to <18y & non amb.
DMD","Phase 3","2029+","Sarepta","Roche Late Stage Product Development","Delandistrogene moxeparvovec (SRP-9001; rAAVrh74.MHCK7.micro-dystrophin) is an investigational gene therapy aimed to deliver the micro-dystrophin-encoding transgene directly to the skeletal and cardiac muscle for the targeted production of the SRP-9001-dystrophin protein to enable a durable clinical response."
"RG6102","trontinemab","","","Neuroscience","nme","Alzheimer's disease (AD)","Phase 3","2028+","","Pharma Research and Early Development (pRED)","Trontinemab (RG6102) is a novel Brainshuttle™ Aβ antibody specifically engineered for enhanced access to the brain to enable rapid reduction of amyloid in people with AD."
"RG7159","obinutuzumab","Gazyva/Gazyvaro","","Immunology","ai","membranous nephropathy","Phase 3","2026","Biogen Idec","Roche Late Stage Product Development","Gazyva/Gazyvaro (obinutuzumab, RG7159, GA101) is the first glycoengineered, type II, humanised anti-CD20 monoclonal antibody. It has a distinct mode of action compared with other anti-CD20s, including MabThera/Rituxan, and was specifically designed to selectively target the CD20 protein on B cells and to bind with high affinity to the cell surface in a type II configuration."
"RG7446","atezolizumab","Tecentriq","","Oncology/Hematology","ai","ctDNA+ high risk muscle-invasive bladder cancer (ctDNA+ high-risk MIBC)","Filed","2025","","Roche Late Stage Product Development","Cancer immunotherapy is the use of the immune system to fight cancer. Tecentriq (anti-PDL1, RG7446, atezolizumab) is an engineered monoclonal antibody that targets the ligand PD-L1 (programmed death ligand 1) aiming to prevent cancer immune evasion."
"RG6209","VEGF-IL6 DutaFab","","","Ophthalmology","nme","DME","Phase 1","","","Pharma Research and Early Development (pRED)","VEGF-IL6 DutaFab (RG6209) is a bispecific Fab molecule targeting vascular endothelial growth factor (VEGF) and Interleukin 6 (IL-6)"
"RG6498","NME","","","Immunology","nme","IBD","Phase 1","","","Pharma Research and Early Development (pRED)",""
"RG6330","divarasib (KRAS G12C)","","","Oncology/Hematology","nme","2L non small cell lung cancer (2L NSCLC)","Phase 3","2027","","Roche Late Stage Product Development","Divarasib (KRAS G12C, GDC-6036, RG6330) is an irreversible covalent inhibitor of the KRAS G12C mutant protein, resulting in a locked inactive conformation. KRAS is a frequently mutated oncogene, occurring in more than 25% of all cancers."
"RG6179","vamikibart","","","Ophthalmology","nme","uveitic macular edema (UME)","Phase 3","2026","","Roche Late Stage Product Development","Vamikibart (RG6179) is a monoclonal antibody that potently binds interleukin-6 (IL-6) cytokine. Anti-IL-6  is evaluated for the treatment of UME (Phase III) and DME (Phase II)."
"RG7845","fenebrutinib","","","Neuroscience","ai","primary progressive multiple sclerosis (PPMS)","Phase 3","2026","","Roche Late Stage Product Development","Fenebrutinib (GDC-0853, RG7845) is a novel Bruton’s tyrosine kinase (BTK) inhibitor that helps block B cell proliferation. Fenebrutinib binds to BTK in a novel way that is believed to increase its effectiveness."
"RG6321","Port Delivery System with ranibizumab","Susvimo","","Ophthalmology","ai","diabetic retinopathy (DR)","Approved","","ForSight VISION4","Roche Late Stage Product Development","Ranibizumab, the active ingredient of Lucentis, is a monoclonal antibody fragment. It is designed to bind to and inhibit VEGF (vascular endothelial growth factor), a protein that is believed to play a critical role in the formation of new blood vessels (angiogenesis) and the hyperpermeability (leakiness) of the vessels. Ranibizumab delivered via the ranibizumab port delivery system implant (Susvimo, PDS, RG6321) refilled every 36 weeks is evaluated for the treatment of patients with diabetic retinopathy (DR)."
"RG6107","crovalimab","PiaSky","","Oncology/Hematology","ai","atypical hemolytic uremic syndrome (aHUS)","Phase 3","2026","Chugai","Roche Late Stage Product Development","PiaSky (crovalimab, RG6107) is a humanised complement inhibitor C5 monoclonal antibody discovered by Chugai using recycling antibody technology.  By blocking the cleavage of C5 to C5a and C5b, it is expected to inhibit complement activation, which is the cause of a number of diseases. As the complement system is a key innate immune defense mechanism, it is planned to study the potential of this antibody in a broader range of complement-mediated diseases."
"RG6006","zosurabalpin (Abx MCP)","","","Other","nme","Acinetobacter baumannii infections (bacterial infections)","Phase 1","","","Pharma Research and Early Development (pRED)","Zosurabalpin (Abx MCP, RG6006) is a small molecule, novel chemical class antibiotic for the treatment of Acinetobacter baumannii infections."
"RG6512","anti-FIXa/FX (NXT007)","","","Oncology/Hematology","nme","hemophilia A","Phase 2","2028+","Chugai","Chugai","Anti-FIXa/FX (NXT007, RG6512) is an optimized anti-FIXa/FX bispecific monoclonal antibody. NXT007 has an enhanced hemostatic activity and improved pharmacokinetics by antibody engineering technologies."
"RG6351","Tie2 agonist","","","Ophthalmology","nme","DME","Phase 2","2029+","","Genentech Research and Early Development (gRED)","Tie2 agonist (RG6351) is a Fab-PEG-hexamer conjugate designed to directly activate Tie2.  Tie2 agonist is initially being combined with Vabysmo (RG7716) to treat patients with DME (Ph2)"
"RG6330","divarasib (KRAS G12C)","","plus pembrolizumab","Oncology/Hematology","ai","1L non small cell lung cancer (1L NSCLC)","Phase 3","2029+","","Roche Late Stage Product Development","Divarasib (KRAS G12C, GDC-6036, RG6330) is an irreversible covalent inhibitor of the KRAS G12C mutant protein, resulting in a locked inactive conformation. KRAS is a frequently mutated oncogene, occurring in more than 25% of all cancers."
"RG6171","giredestrant","","","Oncology/Hematology","ai","endometrial cancer","Phase 2","","","Roche Late Stage Product Development","Giredestrant (RG6171, GDC-9545) is a selective estrogen receptor degrader (SERD) that is designed to bind to the estrogen receptor to limit its function.  In addition, when SERDs bind to the estrogen receptor, they may be able to change the shape of the receptor in such a way that the cell eliminates it by degradation."
"RG6026","glofitamab","Columvi","","Oncology/Hematology","ai","relapsed or refractor mantle cell lymphoma (r/r MCL)","Phase 3","2027","","Roche Late Stage Product Development","Columvi (glofitamab, Anti-CD20 CD3 TCB, RG6026) is a 2:1 format T cell-engaging bispecific antibody, designed to engage both CD20 on B cells and CD3 on T cells. By engaging both targets simultaneously, the antibody activates the T cells to attack and eliminate the B cells, allowing treatment of B cell cancers such as non-Hodgkin’s lymphoma."
"RG1569","tocilizumab","Actemra/RoACTEMRA","","Immunology","ai","Covid-19 pneumonia","Approved","","Chugai","Roche Late Stage Product Development","Actemra/RoACTEMRA (tocilizumab, RG1569) is a humanised monoclonal antibody to the interleukin-6 receptor, inhibiting the activity of interleukin-6 and is being investigated in the treatment of Covid-19 pneumonia."
"RG7828","mosunetuzumab","Lunsumio","","Immunology","ai","systemic lupus erythematosus (SLE)","Phase 1","","Biogen Idec","Roche Late Stage Product Development","Lunsumio (mosunetuzumab, anti-CD20/CD3 TDB, RG7828) is a humanized full-length T cell-dependent bispecific antibody designed to target both CD20 on B cells and CD3 on T cells."
"RG6321","Port Delivery System with ranibizumab","Susvimo","","Ophthalmology","ai","diabetic macular edema (DME)","Approved","","ForSight VISION4","Roche Late Stage Product Development","Ranibizumab, the active ingredient of Lucentis, is a monoclonal antibody fragment. It is designed to bind to and inhibit VEGF (vascular endothelial growth factor), a protein that is believed to play a critical role in the formation of new blood vessels (angiogenesis) and the hyperpermeability (leakiness) of the vessels. Ranibizumab delivered via the ranibizumab port delivery system implant (Susvimo, PDS, RG6321) refilled every 36 weeks is evaluated for the treatment of patients with diabetic macular edema (DME)."
"RG6042","tominersen","","","Neuroscience","nme","Huntington's Disease","Phase 2","2029+","Ionis","Roche Late Stage Product Development","Tominersen (ASO-HTT, RG6042) is an antisense drug in development for the treatment of Huntington's Disease. Tominersen is designed to reduce the production of all forms of the huntingtin (HTT) protein, which in its mutated variant (mHTT) is responsible for Huntington's Disease."
"RG6795","CDK4i","","","Oncology/Hematology","nme","HR+ HER2- BC","Phase 1","","","Genentech Research and Early Development (gRED)","selective CDK4 inhibitor"
"RG3648","omalizumab","Xolair","","Immunology","ai","Food allergy","Approved","","Novartis","Roche Late Stage Product Development","Xolair (omalizumab, RG3648) is a monoclonal antibody that specifically targets the antibody IgE (immunoglobulin E)."
"RG6171","giredestrant","","","Oncology/Hematology","ai","adjuvant ER+ breast cancer (ER+ BC, adj)","Filed","2026","","Roche Late Stage Product Development","Giredestrant (RG6171, GDC-9545) is a selective estrogen receptor degrader (SERD) that is designed to bind to the estrogen receptor to limit its function.  In addition, when SERDs bind to the estrogen receptor, they may be able to change the shape of the receptor in such a way that the cell eliminates it by degradation."
"RG6026","glofitamab","Columvi","plus combinations","Oncology/Hematology","ai","hematologic tumors (heme tumors)","Phase 1","","","Roche Late Stage Product Development","Columvi (glofitamab, Anti-CD20 CD3 TCB, RG6026) is a 2:1 format T cell-engaging bispecific antibody, designed to engage both CD20 on B cells and CD3 on T cells. By engaging both targets simultaneously, the antibody activates the T cells to attack and eliminate the B cells, allowing treatment of B cell cancers such as non-Hodgkin’s lymphoma."
"RG6981","Il33:TSLP","","","Immunology","nme","COPD/Asthma","Phase 1","","Qyuns Therapeutics","Pharma Research and Early Development (pRED)","Long-acting bispecific antibody that targets both human thymic stromal lymphopoietin (TSLP) and human interleukin-33 (IL-33)"
"RG6797","dirloctocogene samoparvovec (SPK-8011QQ)","","","Oncology/Hematology","nme","hemophilia A","Phase 2","","Spark Therapeutics","SPARK","SPK-8011QQ is an investigational AAV gene therapy incorporating an enhanced function FVIII variant with increased hemostatic activity into a well-described capsid and vector backbone from SPK-8011 for treatment of people with hemophilia A"
"RG6013","emicizumab","Hemlibra","","Oncology/Hematology","ai","Moderate hemophilia A, without FVIII inhibitors","Approved","","Chugai","Roche Late Stage Product Development","Hemlibra (emicizumab, RG6013, ACE910) is a bispecific antibody that mimics coagulation factor VIII, an essential blood clotting protein."
"RG6631","afimkibart (anti-TL1A)","","","Immunology","ai","rheumatoid arthritis","Phase 2","2029+","Telavant","Roche Late Stage Product Development","A monoclonal antibody targeting TL1A, blocking TH1 and TH17 pathways"
"RG6640","enicepatide (CT-388)","","","Cardiovascular, Renal & Metabolism","nme","obesity +/- Type 2 diabetes (T2D)","Phase 3","2028+","Carmot Therapeutics","Roche Late Stage Product Development","CT-388 is a once-weekly subcutaneous injectable, dual GLP-1/GIP receptor agonist being developed for the treatment of obesity and type 2 diabetes (T2D). It was designed to have potent activity on both the GLP-1 and GIP receptors but with minimal to no ß-arrestin recruitment on either receptor. This biased signaling significantly minimizes receptor internalization and consequent desensitization, which is expected to lead to prolonged pharmacological activity."
"RG6730","UC","","","Immunology","nme","p40xTL1A bispecific antibody","Phase 2","2029+","Pfizer","Genentech Research and Early Development (gRED)","Next generation anti-p40/TL1A bi-specific antibody designed to target p40 and TL1A"
"RG7845","fenebrutinib","","","Neuroscience","nme","relapsing multiple sclerosis (RMS)","Phase 3","2026","","Roche Late Stage Product Development","Fenebrutinib (GDC-0853, RG7845) is a novel Bruton’s tyrosine kinase (BTK) inhibitor that helps block B cell proliferation. Fenebrutinib binds to BTK in a novel way that is believed to increase its effectiveness."
"RG6418","selnoflast (NLRP3 inhibitor)","","","Neuroscience","nme","Inflammation","Phase 1","","","Pharma Research and Early Development (pRED)","Selnoflast (NLRP3i, RG6418) is a small molecule inhibitor of the NLRP3 inflammasome. NLRP3 is a cytosolic multiprotein complex of the innate immune system and its activation triggers inflammatory response leading to pyroptotic cell death. Selnoflast is developed in several disease areas, including Immunology and Neurology."
"RG7159","obinutuzumab","Gazyva/Gazyvaro","","Immunology","ai","pediatric nephrotic syndrome (PNS)","Filed","2026","Biogen Idec","Roche Late Stage Product Development","Gazyva/Gazyvaro (obinutuzumab, RG7159, GA101) is the first glycoengineered, type II, humanised anti-CD20 monoclonal antibody. It has a distinct mode of action compared with other anti-CD20s, including MabThera/Rituxan, and was specifically designed to selectively target the CD20 protein on B cells and to bind with high affinity to the cell surface in a type II configuration."
"RG6641","acmopatide (CT-868)","","","Cardiovascular, Renal & Metabolism","nme","T1D glycemic control","Phase 2","2029+","Carmot Therapeutics","Roche Late Stage Product Development","CT-868 is a once-daily subcutaneous injectable, dual GLP-1/GIP receptor agonist being developed as an adjunct to insulin for the treatment of type 1 diabetes (T1D) with overweight or obesity. We designed CT-868 to exhibit signaling bias with no ß-arrestin recruitment to either GLP-1 or GIP receptors, minimizing receptor internalization and consequent desensitization. This signal biased dual GLP-1/GIP receptor agonism is expected to contribute to improved glycemic control, insulin sensitivity, and weight loss."
"RG6026","glofitamab","Columvi","plus Polivy + R-CHP","Oncology/Hematology","ai","1L diffuse large B-cell lymphoma (1L DLBCL)","Phase 3","2027","","Roche Late Stage Product Development","Columvi (glofitamab, Anti-CD20 CD3 TCB, RG6026) is a 2:1 format T cell-engaging bispecific antibody, designed to engage both CD20 on B cells and CD3 on T cells. By engaging both targets simultaneously, the antibody activates the T cells to attack and eliminate the B cells, allowing treatment of B cell cancers such as non-Hodgkin’s lymphoma."
"RG6321","Port Delivery System with ranibizumab","Susvimo","","Ophthalmology","ai","age-related macular degeneration (AMD) - 36 week refill interval","Phase 3","2027","ForSight VISION4","Roche Late Stage Product Development","Ranibizumab, the active ingredient of Lucentis, is a monoclonal antibody fragment. It is designed to bind to and inhibit VEGF (vascular endothelial growth factor), a protein that is believed to play a critical role in the formation of new blood vessels (angiogenesis) and the hyperpermeability (leakiness) of the vessels. Ranibizumab delivered via the ranibizumab port delivery system implant (Susvimo, PDS, RG6321) refilled every 36 weeks is evaluated for the treatment of patients with subfoveal neovascular age-related macular degeneration (nAMD)."
"RG7935","prasinezumab","","","Neuroscience","nme","Parkinson's disease (PD)","Phase 3","2029+","Prothena","Pharma Research and Early Development (pRED)","Prasinezumab (RG7935) is a monoclonal antibody targeting alpha-synuclein, a protein that may misfold and be involved in the pathogenesis of Parkinson's disease. It has been tested in preclinical models of synuclein-related disease and has shown a reduction of neurodegeneration."
"RG6538","P-BCMA-ALLO1","","","Oncology/Hematology","nme","r/r multiple myeloma (MM)","Phase 1","","Poseida Therapeutics","Roche Late Stage Product Development","P-BCMA-ALLO1 (RG6538) is an off-the-shelf, donor derived, allogeneic anti-BCMA CAR T therapy with potent antitumor function for the treatment of multiple myeloma. P-BCMA-ALLO1 is designed to be fully allogeneic, with genetic edits to eliminate or reduce both host-vs-graft and graft-vs-host alloreactivity."
"RG6631","afimkibart (anti-TL1A)","","","Immunology","nme","ulcerative colitis","Phase 3","2027","Telavant","Roche Late Stage Product Development","A monoclonal antibody targeting TL1A, blocking TH1 and TH17 pathways"
"RG6881","MASH with fibrosis stage F4","","","Cardiovascular, Renal & Metabolism","ai","pegozafermin","Phase 3","2028+","89bio","Roche Late Stage Product Development","Pegozafermin is a FGF21 analog currently in late-stage development for MASH in moderate and severe fibrotic patients (F2 and F3 stages) as well as cirrhotic patients (F4 stage)"
"RG6321","Port Delivery System with ranibizumab","Susvimo","","Ophthalmology","nme","age-related macular degeneration (AMD)","Approved","","ForSight VISION4","Roche Late Stage Product Development","Ranibizumab, the active ingredient of Lucentis, is a monoclonal antibody fragment. It is designed to bind to and inhibit VEGF (vascular endothelial growth factor), a protein that is believed to play a critical role in the formation of new blood vessels (angiogenesis) and the hyperpermeability (leakiness) of the vessels. Ranibizumab delivered via the ranibizumab port delivery system implant (Susvimo, PDS, RG6321) is evaluated for the treatment of patients with subfoveal neovascular age-related macular degeneration (nAMD)."
"RG6160","cevostamab","","","Oncology/Hematology","nme","relapsed or refractory multiple myeloma (r/r MM)","Phase 1","","","Genentech Research and Early Development (gRED)","Cevostamab (RG6160) is a first-of-its-kind FcRH5xCD3 T-cell engaging bispecific antibody, targeting Fc receptor-like protein 5 (FcRH5) on myeloma cells and CD3 on immune T-cells. Cevostamab is currently being evaluated in relapsed/refractory multiple myeloma."
"RG6496","HTT SNP ASO","","","Neuroscience","nme","Huntington’s","Phase 1","","IONIS","Pharma Research and Early Development (pRED)","Novel antisense oligonucleotide (ASO) that targets HTT pre-mRNA with a single nucleotide polymorphism (SNP) associated with the CAG repeat expansion of the HTT gene. It selectively inhibits the translation of mutant Huntingtin (mHTT) protein, leading to a reduction in mHTT protein levels."
"RG7716","faricimab","Vabysmo","","Ophthalmology","ai","macular edema secondary to branch retinal vein occlusion (BRVO)","Approved","","","Roche Late Stage Product Development","Vabysmo (faricimab, RG7716) is a bispecific antibody developed with CrossMab technology to tightly bind VEGF-A on one arm and angiopoietin (Ang)-2 on the other arm."
"RG7159","obinutuzumab","Gazyva/Gazyvaro","","Immunology","ai","lupus nephritis (LN)","Approved","","Biogen Idec","Roche Late Stage Product Development","Gazyva/Gazyvaro (obinutuzumab, RG7159, GA101) is the first glycoengineered, type II, humanised anti-CD20 monoclonal antibody. It has a distinct mode of action compared with other anti-CD20s, including MabThera/Rituxan, and was specifically designed to selectively target the CD20 protein on B cells and to bind with high affinity to the cell surface in a type II configuration."
"RG6631","afimkibart (anti-TL1A)","","","Immunology","ai","Crohn's disease","Phase 3","2029+","Telavant","Roche Late Stage Product Development","A monoclonal antibody targeting TL1A, blocking TH1 and TH17 pathways"
